Host Total Listings Count,Neighbourhood,Neighbourhood Cleansed,Neighbourhood Group Cleansed,City,State,Zipcode,Market,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Square Feet,Price,Security Deposit,Cleaning Fee,Guests Included,Minimum Nights,Maximum Nights,Availability 30,Availability 60,Availability 90,Availability 365,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Cancellation Policy
15.0,,39,3,0,Comunidad de Madrid,28012,2,0,0,2,1.0,1.0,1.0,4,,36.0,,15.0,2,1,20,2,16,32,301,109,86.0,9.0,9.0,9.0,9.0,10.0,9.0,2
15.0,Cortes,39,3,0,Community of Madrid,28012,2,0,0,4,1.0,0.0,2.0,4,,76.0,,,2,2,30,3,4,8,138,0,,,,,,,,2
40.0,Cortes,39,3,0,Comunidad de Madrid,28014,2,0,0,2,1.0,1.0,1.0,4,,95.0,200.0,50.0,1,2,1125,10,30,54,302,0,,,,,,,,2
8.0,Cortes,39,3,0,Comunidad de Madrid,28014,2,0,0,4,1.0,1.0,2.0,4,,48.0,300.0,30.0,2,14,1125,8,8,8,268,1,100.0,8.0,10.0,10.0,8.0,10.0,10.0,0
1.0,Cortes,39,3,0,Madrid,28014,2,0,0,4,1.0,2.0,3.0,4,,67.0,150.0,20.0,1,2,365,4,8,15,249,47,87.0,9.0,9.0,9.0,10.0,10.0,9.0,1
13.0,,39,3,0,Comunidad de Madrid,28014,2,0,0,2,1.0,0.0,1.0,4,,90.0,,15.0,1,1,20,4,7,14,247,0,,,,,,,,2
5.0,Malasaña,114,3,0,Madrid,28015,2,0,0,4,1.0,1.0,3.0,4,,45.0,100.0,30.0,2,4,1125,3,3,5,162,68,87.0,9.0,9.0,9.0,10.0,10.0,9.0,2
2.0,Malasaña,114,3,0,Comunidad de Madrid,28004,2,0,0,5,2.0,2.0,2.0,4,,120.0,100.0,30.0,4,3,1125,7,20,38,283,102,95.0,9.0,9.0,10.0,10.0,10.0,9.0,2
10.0,Malasaña,114,3,0,Community of Madrid,28004,2,0,0,4,1.0,1.0,2.0,4,,80.0,80.0,30.0,2,3,300,0,16,37,305,22,94.0,10.0,9.0,10.0,10.0,10.0,9.0,0
1.0,Malasaña,114,3,0,Comunidad de Madrid,28004,5,0,0,6,1.0,2.0,3.0,4,,50.0,150.0,30.0,2,3,1125,0,2,2,230,0,,,,,,,,1
2.0,,114,3,0,Comunidad de Madrid,28004,2,0,0,4,1.0,1.0,2.0,4,,70.0,,20.0,2,2,1125,8,17,34,301,19,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0
2.0,Malasaña,114,3,0,Comunidad de Madrid,28004,2,0,0,3,1.0,2.0,2.0,4,,125.0,,20.0,1,4,1125,0,0,0,0,1,80.0,10.0,8.0,10.0,10.0,10.0,8.0,1
4.0,Malasaña,114,3,0,Comunidad de Madrid,28004,2,0,0,4,1.0,1.0,1.0,4,,59.0,,30.0,2,1,1125,8,21,51,326,37,82.0,9.0,9.0,9.0,8.0,10.0,9.0,2
4.0,Malasaña,114,3,0,Community of Madrid,28004,2,0,0,4,1.0,1.0,2.0,4,,62.0,100.0,25.0,2,2,1125,5,24,46,321,6,93.0,9.0,9.0,10.0,10.0,10.0,9.0,2
1.0,Malasaña,114,3,0,Community of Madrid,28004,2,0,0,4,1.0,1.0,2.0,4,,70.0,,,1,30,180,0,2,32,307,41,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1
40.0,Malasaña,114,3,0,Comunidad de Madrid,28013,2,8,0,4,1.0,2.0,2.0,4,,200.0,,90.0,1,3,1125,22,52,82,357,0,,,,,,,,2
5.0,Malasaña,114,3,0,Comunidad de Madrid,28015,2,0,0,6,1.0,2.0,4.0,4,,85.0,295.0,50.0,2,3,365,0,0,25,300,14,88.0,9.0,10.0,9.0,9.0,10.0,8.0,2
5.0,,114,3,0,Comunidad de Madrid,28004,2,15,0,4,1.0,1.0,2.0,4,,85.0,300.0,30.0,2,2,1125,5,26,52,327,30,96.0,10.0,10.0,10.0,10.0,10.0,10.0,2
1.0,Malasaña,114,3,0,Comunidad de Madrid,28004,2,0,0,3,1.0,1.0,1.0,4,,50.0,,,1,2,6,3,33,63,338,9,95.0,10.0,9.0,10.0,10.0,10.0,10.0,0
3.0,Malasaña,114,3,0,Comunidad de Madrid,28004,2,0,0,5,1.0,2.0,3.0,4,,60.0,,25.0,3,3,1125,11,31,55,330,77,98.0,10.0,10.0,10.0,10.0,10.0,10.0,2
9.0,Malasaña,114,3,0,Comunidad de Madrid,28008,2,0,0,8,1.0,4.0,5.0,4,,60.0,200.0,30.0,4,1,1125,0,0,0,96,0,,,,,,,,2
57.0,Malasaña,114,3,0,Comunidad de Madrid,28004,2,0,0,2,1.0,0.0,1.0,4,,59.0,100.0,35.0,1,1,28,15,39,67,151,30,89.0,9.0,9.0,9.0,9.0,10.0,9.0,1
2.0,Malasaña,114,3,0,Comunidad de Madrid,28015,2,0,0,6,1.0,2.0,3.0,4,,90.0,,25.0,1,3,31,8,23,35,296,21,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1
1.0,,114,3,0,Comunidad de Madrid,28004,2,0,1,2,1.0,1.0,1.0,4,,50.0,,10.0,1,3,7,22,52,78,353,0,,,,,,,,0
1.0,,114,3,0,Comunidad de Madrid,28004,2,8,1,1,0.0,1.0,1.0,4,,27.0,,,1,3,1125,22,52,82,357,18,92.0,10.0,9.0,10.0,10.0,10.0,9.0,0
7.0,,111,3,0,Comunidad de Madrid,28012,2,0,0,16,4.0,4.0,11.0,4,,350.0,250.0,55.0,1,1,1125,24,53,80,197,0,,,,,,,,2
24.0,Sol,111,3,0,Community of Madrid,28012,2,0,0,5,2.0,2.0,4.0,4,0.0,90.0,150.0,30.0,2,1,1125,2,14,27,112,186,95.0,10.0,10.0,10.0,10.0,10.0,10.0,2
3.0,Sol,111,3,0,Comunidad de Madrid,28012,2,0,0,8,1.0,2.0,2.0,4,,95.0,95.0,40.0,4,2,16,15,33,59,149,2,60.0,4.0,8.0,8.0,4.0,10.0,4.0,0
8.0,Sol,111,3,0,Comunidad de Madrid,28012,2,0,0,4,1.0,0.0,1.0,4,,90.0,96.0,30.0,2,2,1125,8,15,33,301,5,92.0,10.0,8.0,8.0,9.0,10.0,9.0,0
15.0,Sol,111,3,0,Community of Madrid,28013,2,0,0,6,2.0,2.0,3.0,4,,120.0,300.0,40.0,4,3,1125,5,8,15,135,76,96.0,10.0,10.0,10.0,10.0,10.0,10.0,2
2.0,Sol,111,3,0,Madrid,28014,2,0,0,8,2.0,4.0,5.0,4,2153.0,250.0,300.0,70.0,8,1,30,9,18,32,215,24,99.0,10.0,10.0,10.0,10.0,10.0,10.0,2
2.0,Sol,111,3,0,Community of Madrid,28012,2,0,0,2,1.0,1.0,1.0,4,,125.0,,,1,2,7,12,25,25,25,6,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1
2.0,,111,3,0,Comunidad de Madrid,28012,2,0,0,4,1.0,1.0,2.0,4,,67.0,,5.0,1,1,1125,9,17,28,280,187,93.0,9.0,10.0,10.0,10.0,10.0,9.0,2
2.0,Sol,111,3,0,Comunidad de Madrid,28013,2,0,0,6,1.0,2.0,4.0,4,,150.0,200.0,35.0,4,1,1125,4,16,33,33,33,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1
1.0,Sol,111,3,0,Community of Madrid,28005,2,0,0,9,2.0,4.0,1.0,4,,180.0,,,1,3,1125,15,23,41,301,94,92.0,9.0,9.0,9.0,9.0,10.0,9.0,2
40.0,Sol,111,3,0,Comunidad de Madrid,28013,2,0,0,4,1.0,1.0,1.0,4,,95.0,300.0,70.0,2,3,1125,13,43,65,340,2,90.0,8.0,10.0,7.0,9.0,10.0,9.0,2
6.0,Sol,111,3,0,Comunidad de Madrid,28013,2,0,0,6,1.0,2.0,5.0,4,,80.0,150.0,30.0,6,2,365,6,18,36,249,20,82.0,8.0,9.0,9.0,9.0,10.0,9.0,2
10.0,Sol,111,3,0,Comunidad de Madrid,28013,2,0,0,8,2.5,3.0,3.0,4,,170.0,,60.0,6,2,1000,4,9,18,265,34,92.0,9.0,9.0,9.0,10.0,10.0,9.0,2
5.0,Sol,111,3,0,Comunidad de Madrid,28012,2,0,0,2,1.0,0.0,1.0,4,,109.0,150.0,25.0,1,2,30,10,20,34,305,163,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1
40.0,Sol,111,3,0,Comunidad de Madrid,28013,2,0,0,2,1.0,1.0,1.0,4,,115.0,400.0,70.0,1,3,1125,11,23,47,321,8,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2
2.0,Sol,111,3,0,Comunidad de Madrid,28013,2,0,0,3,1.0,0.0,2.0,4,,55.0,,5.0,1,1,1125,10,33,58,331,1,100.0,6.0,6.0,10.0,10.0,10.0,6.0,2
1.0,Malasaña,114,3,0,Comunidad de Madrid,28004,2,0,1,2,1.0,1.0,1.0,4,,50.0,,,1,1,10,14,34,61,151,11,96.0,10.0,10.0,10.0,9.0,10.0,10.0,2
10.0,,114,3,0,Comunidad de Madrid,28004,2,0,0,5,1.0,2.0,2.0,4,,75.0,200.0,30.0,2,2,1125,9,23,47,208,8,93.0,9.0,10.0,10.0,10.0,10.0,10.0,1
1.0,Malasaña,114,3,0,Comunidad de Madrid,28004,2,0,1,2,1.0,1.0,1.0,4,,35.0,,7.0,2,2,30,2,6,12,287,9,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1
57.0,Malasaña,114,3,0,Comunidad de Madrid,28004,2,0,0,5,2.0,3.0,2.0,4,,79.0,100.0,50.0,1,1,29,11,32,48,137,27,81.0,9.0,9.0,8.0,8.0,9.0,9.0,2
6.0,Malasaña,114,3,0,Comunidad de Madrid,28004,2,0,0,4,1.0,1.0,1.0,4,,119.0,100.0,30.0,5,1,1125,9,29,29,29,0,,,,,,,,2
5.0,Malasaña,114,3,0,Comunidad de Madrid,28004,2,0,0,3,1.0,1.0,2.0,4,,70.0,150.0,20.0,1,2,1125,3,9,16,275,8,98.0,10.0,10.0,9.0,9.0,10.0,10.0,0
46.0,,114,3,0,Comunidad de Madrid,28004,2,0,0,3,1.0,1.0,1.0,4,,43.0,,25.0,2,1,20,1,9,23,279,34,84.0,9.0,9.0,9.0,9.0,10.0,9.0,2
1.0,,114,3,0,Comunidad de Madrid,28015,2,0,1,2,1.0,1.0,1.0,4,,40.0,,10.0,1,4,10,6,6,6,6,0,,,,,,,,0
1.0,Malasaña,114,3,0,Comunidad de Madrid,28004,2,0,1,2,1.0,1.0,1.0,4,,35.0,,,1,2,2,0,0,4,5,1,100.0,,10.0,10.0,10.0,10.0,10.0,0
1.0,,114,3,0,Comunidad de Madrid,28004,2,0,1,2,1.0,1.0,1.0,4,,30.0,,,1,1,1125,13,43,73,348,0,,,,,,,,0
5.0,,114,3,0,Comunidad de Madrid,,2,0,0,4,1.0,1.0,3.0,4,,81.0,90.0,35.0,3,2,1125,10,34,61,138,8,86.0,9.0,10.0,9.0,9.0,10.0,9.0,2
1.0,,114,3,0,Comunidad de Madrid,28004,2,0,0,4,1.0,1.0,2.0,4,,45.0,500.0,35.0,1,2,1125,8,38,64,277,28,94.0,10.0,10.0,10.0,10.0,10.0,9.0,2
32.0,Malasaña,114,3,0,Comunidad de Madrid,28004,2,0,1,10,4.0,6.0,10.0,4,,23.0,88.0,20.0,1,4,300,30,60,90,365,6,77.0,8.0,7.0,9.0,9.0,10.0,8.0,2
1.0,,114,3,0,Community of Madrid,28004,2,0,0,4,1.0,2.0,3.0,4,,100.0,200.0,55.0,4,3,365,16,29,45,227,26,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1
1.0,,114,3,0,Comunidad de Madrid,28094,2,0,0,4,1.0,2.0,2.0,4,,120.0,,,1,2,30,10,40,70,345,9,98.0,10.0,10.0,10.0,10.0,10.0,10.0,2
1.0,Sol,111,3,0,Comunidad de Madrid,28013,2,0,1,1,1.5,1.0,1.0,4,,28.0,,5.0,2,1,1125,0,0,0,0,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0
38.0,Sol,111,3,0,Madrid,28013,2,0,1,2,5.0,1.0,1.0,4,,33.0,200.0,,1,4,1125,0,0,10,10,0,,,,,,,,2
1.0,,111,3,0,Madrid,28012,2,0,1,1,1.0,1.0,1.0,4,,21.0,,,1,1,6,9,23,37,37,5,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0
142.0,Sol,111,3,0,Comunidad de Madrid,28013,2,0,0,4,1.0,2.0,2.0,4,,155.0,,77.0,4,3,1125,11,31,48,232,0,,,,,,,,2
11.0,Sol,111,3,0,Comunidad de Madrid,28012,2,0,0,6,2.0,2.0,4.0,4,,113.0,300.0,52.0,2,3,1125,8,16,35,310,12,91.0,10.0,10.0,9.0,9.0,10.0,9.0,2
3.0,,111,3,0,Comunidad de Madrid,28012,2,0,0,6,2.0,2.0,5.0,4,,130.0,200.0,40.0,2,3,1125,5,11,16,214,51,94.0,10.0,10.0,10.0,10.0,10.0,9.0,1
11.0,Sol,111,3,0,Comunidad de Madrid,28013,2,0,0,8,2.0,2.0,4.0,4,,139.0,,39.0,4,2,1125,12,31,51,132,83,92.0,9.0,9.0,10.0,9.0,9.0,9.0,2
9.0,Sol,111,3,0,Comunidad de Madrid,28013,2,0,0,4,1.0,1.0,2.0,4,,60.0,,15.0,2,3,1125,13,13,13,13,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1
10.0,Sol,111,3,0,Comunidad de Madrid,28012,2,0,0,7,2.0,2.0,5.0,4,,150.0,,25.0,5,2,1125,7,17,32,305,40,83.0,9.0,9.0,8.0,9.0,9.0,8.0,0
7.0,,111,3,0,Comunidad de Madrid,28012,2,0,0,4,1.0,1.0,2.0,4,,65.0,100.0,30.0,2,1,1125,16,41,66,211,4,65.0,8.0,8.0,8.0,9.0,10.0,8.0,2
1.0,,60,0,0,Comunidad de Madrid,28005,2,0,0,2,1.0,0.0,1.0,4,,50.0,,,1,1,1125,0,0,0,0,1,40.0,8.0,2.0,6.0,6.0,6.0,4.0,1
6.0,,60,0,0,Comunidad de Madrid,28005,2,0,1,2,1.0,1.0,1.0,4,,29.0,,,1,2,1125,13,42,72,347,2,100.0,10.0,10.0,10.0,10.0,8.0,9.0,0
2.0,Imperial,60,0,0,Community of Madrid,28019,2,0,1,2,2.0,1.0,1.0,4,,25.0,150.0,,1,2,30,2,32,62,337,5,96.0,10.0,9.0,10.0,10.0,10.0,10.0,0
3.0,,60,0,0,Comunidad de Madrid,28005,2,0,1,4,1.0,1.0,1.0,4,,25.0,,25.0,1,1,1125,30,60,90,180,0,,,,,,,,1
1.0,Arganzuela,1,0,0,Community of Madrid,28012,2,0,1,1,1.0,1.0,1.0,4,,28.0,,,1,1,1125,0,0,0,219,9,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0
1.0,Prosperidad,92,4,0,Comunidad de Madrid,28002,2,14,0,5,2.0,3.0,4.0,4,,125.0,100.0,20.0,1,3,1125,3,8,31,72,3,100.0,10.0,10.0,10.0,10.0,9.0,10.0,1
1.0,Prosperidad,92,4,0,Community of Madrid,28002,2,14,1,2,1.0,1.0,1.0,4,,39.0,,,1,3,1125,30,60,90,365,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1
1.0,Ciudad Jardin,33,4,0,Comunidad de Madrid,28002,2,0,0,4,1.0,2.0,2.0,4,,105.0,,,1,6,20,7,25,55,330,0,,,,,,,,0
2.0,Ciudad Jardin,33,4,0,Comunidad de Madrid,28002,2,16,0,5,2.0,3.0,5.0,4,,110.0,100.0,50.0,5,1,1125,10,22,33,234,4,95.0,10.0,10.0,9.0,10.0,10.0,10.0,0
1.0,,58,4,0,Comunidad de Madrid,,2,14,1,1,1.0,1.0,1.0,4,,41.0,,,1,2,1125,9,9,11,11,4,100.0,10.0,10.0,10.0,10.0,9.0,9.0,1
1.0,Hispanoamérica,58,4,0,Comunidad de Madrid,28016,2,14,1,2,1.5,1.0,1.0,4,,50.0,,10.0,1,2,1125,20,41,71,346,26,94.0,10.0,10.0,10.0,10.0,10.0,10.0,1
1.0,,58,4,0,Comunidad de Madrid,28016,2,0,1,1,1.0,1.0,1.0,4,,35.0,,,1,1,1125,14,36,66,341,47,93.0,10.0,9.0,9.0,10.0,10.0,9.0,0
68.0,,74,4,0,Comunidad de Madrid,28016,2,14,0,10,5.0,5.0,9.0,4,,875.0,,375.0,1,30,1125,0,0,0,261,0,,,,,,,,2
1.0,Castilla,30,4,0,Comunidad de Madrid,28036,2,0,0,2,1.0,1.0,1.0,4,,90.0,250.0,25.0,1,2,1125,13,43,73,73,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1
3.0,,18,16,0,Comunidad de Madrid,28039,2,14,0,2,1.0,1.0,1.0,4,,80.0,,20.0,2,2,1125,1,1,1,1,6,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1
46.0,Bellas Vistas,18,16,0,Comunidad de Madrid,28039,2,0,0,2,1.0,0.0,1.0,4,,30.0,100.0,60.0,1,1,1125,8,8,17,292,3,73.0,10.0,8.0,10.0,10.0,7.0,9.0,1
46.0,Bellas Vistas,18,16,0,Comunidad de Madrid,28039,2,0,0,6,2.0,2.0,2.0,4,,56.0,200.0,100.0,3,1,1125,16,24,27,302,0,,,,,,,,1
1.0,Bellas Vistas,18,16,0,Comunidad de Madrid,28039,2,0,1,3,1.0,1.0,1.0,4,,40.0,150.0,8.0,1,2,1125,20,50,80,171,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1
6.0,Cuatro Caminos,41,16,0,Comunidad de Madrid,28020,2,0,0,3,1.0,1.0,2.0,4,,45.0,300.0,25.0,2,2,1125,2,26,56,328,7,91.0,10.0,9.0,10.0,10.0,10.0,9.0,2
2.0,Cuatro Caminos,41,16,0,Comunidad de Madrid,28020,2,8,1,2,1.0,1.0,1.0,4,,20.0,,,2,1,1125,0,0,0,0,7,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0
2.0,Cuatro Caminos,41,16,0,Comunidad de Madrid,28020,2,0,1,2,2.0,1.0,1.0,4,,35.0,100.0,8.0,2,1,3,24,54,84,84,1,100.0,10.0,10.0,10.0,8.0,10.0,10.0,1
5.0,,41,16,0,Comunidad de Madrid,28020,2,0,0,2,1.0,1.0,1.0,4,,49.0,100.0,,1,1,1125,4,11,21,286,20,91.0,10.0,10.0,10.0,10.0,10.0,9.0,2
1.0,,41,16,0,Comunidad de Madrid,28020,2,0,0,2,1.0,1.0,1.0,4,,70.0,,,1,1,1125,9,15,45,320,0,,,,,,,,0
3.0,,41,16,0,Comunidad de Madrid,,2,0,1,2,1.0,1.0,2.0,4,,45.0,,15.0,1,1,1125,17,45,71,305,6,97.0,10.0,10.0,10.0,9.0,10.0,10.0,0
1.0,,31,16,0,Comunidad de Madrid,,2,0,0,3,1.0,1.0,2.0,4,,35.0,150.0,40.0,2,2,1125,11,24,50,50,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0
1.0,,31,16,0,Comunidad de Madrid,28020,2,1,1,1,1.0,1.0,1.0,4,,40.0,,,1,1,1125,29,59,89,364,12,95.0,9.0,9.0,10.0,10.0,9.0,10.0,0
1.0,El Tréntaiseis,73,13,0,Comunidad de Madrid,28009,2,0,0,4,1.0,0.0,2.0,4,,75.0,150.0,10.0,3,2,1125,15,33,49,319,61,89.0,10.0,9.0,9.0,9.0,10.0,9.0,2
207.0,Recoletos,97,14,0,Comunidad de Madrid,28001,2,0,0,3,1.0,1.0,1.0,4,,106.0,150.0,27.0,1,2,1125,12,34,58,227,1,,,,,,,,0
142.0,,97,14,0,Comunidad de Madrid,28001,2,0,0,6,3.0,3.0,4.0,4,,345.0,,103.0,2,3,1125,10,17,23,147,2,100.0,10.0,10.0,9.0,9.0,10.0,8.0,2
3.0,Recoletos,97,14,0,Comunidad de Madrid,28009,2,0,0,6,1.0,2.0,5.0,4,,150.0,200.0,40.0,1,1,1125,16,46,65,156,0,,,,,,,,2
1.0,Recoletos,97,14,0,Comunidad de Madrid,28001,2,16,0,1,1.0,1.0,1.0,4,,50.0,150.0,25.0,1,1,3,28,58,88,88,0,,,,,,,,0
1.0,Goya,97,14,0,Comunidad de Madrid,28001,2,0,1,2,1.0,1.0,1.0,2,,27.0,200.0,,1,2,1125,0,0,23,270,20,96.0,10.0,9.0,10.0,10.0,10.0,9.0,2
136.0,Goya,97,14,0,Comunidad de Madrid,28001,2,0,0,2,1.0,0.0,2.0,4,,100.0,,,1,3,1125,30,60,90,365,0,,,,,,,,0
1.0,Goya,55,14,0,Madrid,28001,2,0,0,4,1.0,2.0,4.0,4,700.0,100.0,,,1,3,30,4,19,29,232,126,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0
2.0,Goya,55,14,0,Comunidad de Madrid,28001,2,0,1,1,1.5,1.0,1.0,4,,25.0,,,1,1,31,7,23,47,322,12,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1
164.0,Fuente del Berro,55,14,0,Comunidad de Madrid,28028,2,0,0,2,1.0,1.0,1.0,4,,90.0,200.0,40.0,1,2,1125,0,1,1,2,1,20.0,,,,,,,2
9.0,,55,14,0,Comunidad de Madrid,28001,2,1,1,4,3.0,1.0,2.0,4,,45.0,100.0,,2,2,1125,8,27,37,179,46,92.0,9.0,9.0,10.0,9.0,10.0,9.0,2
1.0,Goya,55,14,0,Comunidad de Madrid,28006,2,14,0,5,2.5,3.0,5.0,4,,130.0,100.0,80.0,5,2,1125,5,5,5,25,11,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2
3.0,,52,14,0,Comunidad de Madrid,28028,2,0,0,2,1.0,0.0,1.0,4,,45.0,200.0,15.0,1,3,1125,9,18,30,120,49,94.0,9.0,10.0,10.0,10.0,9.0,10.0,1
1.0,Fuente del Berro,52,14,0,Comunidad de Madrid,28028,2,0,0,2,1.0,1.0,1.0,4,,80.0,,,1,1,1125,0,0,0,0,0,,,,,,,,0
2.0,Fuente del Berro,56,14,0,,28028,2,0,0,6,2.0,3.0,4.0,4,1711.0,180.0,150.0,,2,2,360,7,18,36,266,35,91.0,9.0,9.0,9.0,9.0,9.0,9.0,1
1.0,,56,14,0,Comunidad de Madrid,28028,2,0,1,2,1.0,1.0,1.0,4,,38.0,,,1,1,1125,7,37,67,342,9,96.0,10.0,10.0,9.0,10.0,10.0,10.0,0
1.0,,56,14,0,Comunidad de Madrid,28028,2,0,0,4,1.0,3.0,3.0,4,,75.0,,25.0,1,3,1125,3,14,33,278,6,97.0,10.0,10.0,10.0,10.0,8.0,10.0,1
15.0,Guindalera,56,14,0,Comunidad de Madrid,28028,2,0,1,1,1.0,1.0,1.0,4,,19.0,,,1,21,385,6,36,66,341,6,68.0,6.0,8.0,7.0,7.0,9.0,7.0,2
34.0,Guindalera,56,14,0,Comunidad de Madrid,28028,2,0,1,1,2.0,1.0,1.0,4,,19.0,,,1,30,365,0,0,0,266,16,89.0,9.0,9.0,9.0,9.0,9.0,9.0,2
34.0,Guindalera,56,14,0,Comunidad de Madrid,28028,2,0,1,1,1.0,1.0,1.0,4,,19.0,,,1,2,28,3,33,63,338,26,84.0,8.0,8.0,9.0,9.0,9.0,8.0,2
15.0,Guindalera,56,14,0,Comunidad de Madrid,28028,2,0,0,4,1.0,2.0,4.0,4,,59.0,,,1,1,10,13,29,58,333,36,73.0,7.0,7.0,8.0,9.0,9.0,7.0,2
34.0,,56,14,0,Comunidad de Madrid,28028,2,0,1,2,2.0,1.0,2.0,4,,19.0,,,1,1,365,16,35,47,322,6,93.0,9.0,9.0,10.0,9.0,8.0,9.0,2
1.0,Guindalera,56,14,0,Comunidad de Madrid,28028,2,8,0,4,1.5,2.0,2.0,4,,120.0,300.0,,1,1,1125,0,0,0,0,0,,,,,,,,1
34.0,Guindalera,56,14,0,Community of Madrid,28028,2,0,1,1,1.0,1.0,1.0,4,,19.0,,,1,30,365,0,0,3,278,10,82.0,8.0,8.0,9.0,9.0,9.0,9.0,2
34.0,Guindalera,56,14,0,Comunidad de Madrid,28028,2,0,1,1,1.0,1.0,1.0,4,,19.0,,,1,1,1125,8,30,60,335,8,93.0,10.0,9.0,9.0,10.0,10.0,9.0,2
2.0,,65,14,0,Comunidad de Madrid,,2,0,0,6,1.5,3.0,3.0,4,,80.0,150.0,30.0,1,4,1125,17,42,62,68,16,88.0,9.0,8.0,10.0,10.0,10.0,9.0,1
2.0,Lista,65,14,0,Community of Madrid,28006,2,0,1,6,3.0,1.0,8.0,4,,230.0,,,1,1,1125,0,0,0,0,0,,,,,,,,0
164.0,Lista,65,14,0,Comunidad de Madrid,28006,2,0,0,2,1.0,0.0,1.0,4,,60.0,100.0,40.0,1,2,1125,20,38,65,340,3,87.0,9.0,9.0,9.0,9.0,9.0,9.0,2
1.0,Lista,65,14,0,Comunidad de Madrid,28006,2,1,1,2,1.0,1.0,1.0,4,,30.0,,,1,1,3,11,41,71,71,8,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0
1.0,,29,14,0,Comunidad de Madrid,28006,2,0,1,1,1.0,1.0,1.0,4,,17.0,,5.0,1,1,4,5,33,63,63,10,80.0,9.0,8.0,8.0,8.0,9.0,8.0,0
1.0,Castellana,29,14,0,Comunidad de Madrid,28006,2,0,0,10,3.0,3.0,5.0,4,,220.0,500.0,50.0,6,3,1125,12,32,56,161,7,100.0,10.0,10.0,10.0,10.0,10.0,9.0,1
1.0,,29,14,0,Community of Madrid,,2,0,0,2,1.0,1.0,2.0,4,,70.0,,30.0,1,1,1125,0,0,16,62,15,96.0,10.0,9.0,10.0,9.0,10.0,9.0,1
1.0,Castellana,29,14,0,Comunidad de Madrid,28006,2,0,0,3,1.0,1.0,1.0,4,,40.0,,20.0,1,1,1125,0,0,0,0,3,80.0,10.0,8.0,10.0,10.0,9.0,9.0,2
1.0,Castellana,29,14,0,Comunidad de Madrid,28006,2,0,0,4,2.0,2.0,2.0,4,,159.0,200.0,40.0,1,1,1125,0,0,0,0,7,89.0,10.0,8.0,9.0,10.0,10.0,8.0,0
1.0,El Viso,47,4,0,Community of Madrid,28002,2,0,1,2,1.0,1.0,2.0,4,,30.0,,,1,1,1125,0,6,36,311,10,96.0,10.0,10.0,10.0,10.0,9.0,10.0,0
2.0,,92,4,0,Comunidad de Madrid,28002,2,0,1,1,1.0,1.0,1.0,4,,19.0,,8.0,1,1,1125,14,36,61,61,17,95.0,10.0,10.0,10.0,10.0,9.0,10.0,1
1.0,Prosperidad,92,4,0,Comunidad de Madrid,28002,2,0,1,3,1.0,1.0,1.0,4,,30.0,,,1,1,7,14,41,68,343,12,85.0,9.0,10.0,10.0,10.0,9.0,8.0,0
1.0,,92,4,0,Comunidad de Madrid,"28002
28002",2,0,1,2,1.0,1.0,1.0,4,,70.0,,20.0,1,1,1125,11,11,30,30,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2
1.0,,92,4,0,Comunidad de Madrid,28002,2,0,1,1,1.0,1.0,1.0,4,,23.0,,,1,1,7,13,43,73,73,10,88.0,9.0,8.0,10.0,10.0,9.0,9.0,0
1.0,,87,7,0,Comunidad de Madrid,28029,2,0,1,2,1.0,1.0,1.0,4,,23.0,,,1,1,7,28,58,88,178,3,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0
2.0,Fuencarral-el Pardo,63,7,0,Comunidad de Madrid,28029,2,1,1,1,1.0,1.0,1.0,4,,35.0,,,1,1,1125,0,0,0,0,0,,,,,,,,0
1.0,Moncloa,118,10,0,Comunidad de Madrid,28039,2,0,0,4,1.0,2.0,3.0,4,,60.0,,,1,2,1125,0,0,0,0,11,87.0,9.0,9.0,9.0,10.0,9.0,9.0,0
