Host Total Listings Count,Neighbourhood,Neighbourhood Cleansed,Neighbourhood Group Cleansed,City,State,Zipcode,Market,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Square Feet,Price,Security Deposit,Cleaning Fee,Guests Included,Minimum Nights,Maximum Nights,Availability 30,Availability 60,Availability 90,Availability 365,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Cancellation Policy
2.0,Bellas Vistas,18,16,0,Comunidad de Madrid,28039,2,0,1,1,1.0,1.0,1.0,4,,17.0,,,1,1,1125,0,0,4,279,12,90.0,10.0,10.0,10.0,10.0,9.0,10.0,1
2.0,Bellas Vistas,18,16,0,Community of Madrid,28039,2,0,1,1,2.0,1.0,1.0,4,,22.0,70.0,,1,3,1125,0,0,6,281,0,,,,,,,,0
46.0,Bellas Vistas,18,16,0,Comunidad de Madrid,28039,2,0,0,2,1.0,0.0,1.0,4,,25.0,100.0,60.0,1,1,1125,7,29,59,334,0,,,,,,,,1
1.0,Cuatro Caminos,41,16,0,Comunidad de Madrid,28020,2,16,1,2,1.0,1.0,2.0,4,,40.0,,,1,1,1125,23,53,83,358,16,94.0,9.0,9.0,10.0,10.0,10.0,9.0,0
1.0,,41,16,0,Comunidad de Madrid,28020,2,8,0,4,1.0,2.0,2.0,4,,100.0,,25.0,1,1,3,4,15,31,81,1,100.0,8.0,8.0,10.0,10.0,8.0,8.0,1
2.0,,94,2,0,Community of Madrid,28025,2,0,1,1,1.0,1.0,1.0,4,,23.0,,,1,2,1125,21,51,81,81,4,95.0,10.0,10.0,10.0,10.0,9.0,10.0,0
1.0,Usera,78,17,0,Comunidad de Madrid,28041,2,0,1,2,2.0,1.0,1.0,4,,55.0,,,1,1,7,22,23,23,182,0,,,,,,,,0
1.0,Usera,105,17,0,Comunidad de Madrid,28041,2,0,1,1,1.0,1.0,1.0,4,,12.0,,,1,3,1125,7,22,40,112,18,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2
1.0,,105,17,0,Comunidad de Madrid,28041,2,14,1,1,1.0,1.0,1.0,4,,18.0,,,1,1,1125,11,40,65,334,2,100.0,10.0,10.0,10.0,10.0,8.0,8.0,0
1.0,Usera,105,17,0,Comunidad de Madrid,28041,2,0,1,2,1.0,1.0,2.0,4,,15.0,,,1,1,30,12,33,59,113,5,100.0,10.0,9.0,10.0,10.0,10.0,10.0,2
3.0,,105,17,0,Comunidad de Madrid,28041,2,0,0,4,1.0,2.0,3.0,4,,80.0,,10.0,1,1,1125,30,57,85,173,9,64.0,7.0,6.0,8.0,9.0,7.0,7.0,2
1.0,Usera,105,17,0,Comunidad de Madrid,28041,2,14,0,3,1.0,2.0,2.0,4,,50.0,200.0,,2,2,1125,0,1,2,194,12,93.0,9.0,9.0,10.0,10.0,9.0,9.0,1
4.0,,8,17,0,Comunidad de Madrid,28026,2,14,1,2,1.0,1.0,1.0,4,,35.0,,,1,1,1125,30,60,90,365,1,100.0,,10.0,,10.0,,,0
4.0,Usera,8,17,0,Comunidad de Madrid,28026,2,0,1,2,2.0,1.0,1.0,4,,23.0,,6.0,1,2,300,3,13,32,305,4,95.0,10.0,10.0,10.0,10.0,9.0,10.0,2
6.0,,72,17,0,Madrid,28019,2,0,0,8,1.0,2.0,5.0,4,,120.0,,25.0,2,2,1125,0,0,0,82,1,40.0,4.0,6.0,2.0,8.0,8.0,6.0,2
4.0,,124,17,0,Comunidad de Madrid,28026,2,0,1,2,1.0,1.0,2.0,4,,25.0,,,1,1,1125,30,60,90,365,15,85.0,9.0,10.0,10.0,10.0,8.0,9.0,1
2.0,,90,12,0,Madrid,28018,2,14,1,6,2.0,1.0,5.0,4,,20.0,,20.0,1,5,1125,0,0,24,199,5,100.0,10.0,9.0,10.0,10.0,8.0,10.0,0
4.0,Puente de Vallecas,49,12,0,Comunidad de Madrid,28053,2,0,1,4,1.0,1.0,3.0,4,,48.0,300.0,,2,1,1125,4,4,26,161,2,50.0,5.0,5.0,7.0,4.0,5.0,4.0,2
1.0,,104,12,0,Comunidad de Madrid,28053,2,16,1,2,2.0,1.0,1.0,4,,40.0,,,1,1,1125,29,59,89,89,0,,,,,,,,0
6.0,,104,12,0,Comunidad de Madrid,28053,2,0,0,4,1.0,1.0,3.0,4,,29.0,150.0,35.0,2,2,1125,1,4,7,97,0,,,,,,,,1
6.0,,104,12,0,Comunidad de Madrid,28053,2,14,1,2,1.0,1.0,1.0,4,,35.0,,,5,2,1125,3,3,8,210,22,95.0,10.0,9.0,10.0,10.0,9.0,10.0,1
4.0,Puente de Vallecas,82,12,0,Comunidad de Madrid,28038,2,14,0,3,2.0,3.0,3.0,4,,79.0,250.0,29.0,1,3,1125,0,6,36,311,0,,,,,,,,1
3.0,Puente de Vallecas,82,12,0,Comunidad de Madrid,28038,2,0,0,4,1.0,1.0,2.0,4,,55.0,199.0,18.0,2,5,31,1,6,24,106,52,99.0,10.0,10.0,10.0,10.0,9.0,10.0,2
1.0,Puente de Vallecas,82,12,0,Madrid,28018,2,16,1,2,1.5,1.0,1.0,4,,16.0,,17.0,1,2,6,12,36,66,66,23,95.0,10.0,10.0,10.0,10.0,9.0,10.0,2
6.0,Moratalaz,70,11,0,Community of Madrid,28030,2,0,0,8,2.0,3.0,3.0,4,,110.0,100.0,50.0,6,3,1125,15,42,62,337,17,98.0,10.0,10.0,10.0,10.0,9.0,10.0,2
4.0,Moratalaz,51,11,0,Comunidad de Madrid,28030,2,0,0,5,1.0,3.0,4.0,4,,80.0,250.0,30.0,5,3,1125,0,0,0,264,3,100.0,10.0,10.0,10.0,10.0,9.0,10.0,2
1.0,Moratalaz,122,11,0,Community of Madrid,28030,2,9,1,2,,1.0,,4,,75.0,,,1,1,1125,30,60,90,365,0,,,,,,,,0
4.0,Almagro,6,5,0,Comunidad de Madrid,28010,2,0,0,2,1.0,1.0,1.0,4,,39.0,,15.0,1,3,1125,3,20,50,325,13,91.0,9.0,8.0,10.0,10.0,10.0,9.0,1
40.0,Almagro,6,5,0,Community of Madrid,28010,2,0,0,6,2.0,4.0,4.0,4,0.0,185.0,150.0,50.0,2,2,1125,0,0,0,0,8,91.0,9.0,9.0,8.0,9.0,10.0,8.0,2
51.0,Rios Rosas,99,5,0,Community of Madrid,28003,2,0,0,4,1.0,1.0,1.0,4,,100.0,200.0,33.0,2,4,1125,7,20,39,314,15,89.0,8.0,8.0,9.0,9.0,9.0,9.0,1
1.0,Rios Rosas,99,5,0,Comunidad de Madrid,28003,2,0,0,8,3.0,4.0,6.0,4,,320.0,,,1,5,1125,11,31,38,302,6,90.0,10.0,10.0,9.0,10.0,10.0,9.0,2
1.0,,53,7,0,Comunidad de Madrid,28035,2,16,0,8,1.0,2.0,6.0,4,,80.0,800.0,50.0,4,10,330,30,60,90,365,0,,,,,,,,1
1.0,Fuencarral-El Pardo,53,7,0,Madrid,28035,2,0,1,1,2.0,1.0,1.0,4,969.0,23.0,100.0,10.0,15,1,365,30,60,90,365,1,,,,,,,,1
1.0,,86,7,0,Comunidad de Madrid,28035,2,0,1,2,2.0,1.0,4.0,4,,25.0,,,1,1,1125,21,51,81,356,3,100.0,10.0,9.0,10.0,10.0,10.0,10.0,0
1.0,Fuencarral-el Pardo,86,7,0,Comunidad de Madrid,28035,2,0,1,1,1.0,1.0,1.0,4,,15.0,,,1,1,1125,0,0,0,0,0,,,,,,,,0
30.0,Argüelles,16,10,0,Comunidad de Madrid,28008,2,0,2,10,1.0,1.0,10.0,4,,11.0,,,1,1,1125,30,60,90,365,2,100.0,10.0,9.0,10.0,10.0,10.0,10.0,2
30.0,Argüelles,16,10,0,Comunidad de Madrid,28008,2,0,2,10,1.0,1.0,10.0,4,,11.0,,,1,1,1125,30,60,90,365,1,60.0,6.0,4.0,8.0,4.0,8.0,6.0,2
1.0,,16,10,0,Madrid,28013,2,15,0,2,1.0,0.0,1.0,4,,45.0,,5.0,1,2,1125,2,8,28,299,30,87.0,9.0,9.0,10.0,10.0,10.0,9.0,0
1.0,,16,10,0,Comunidad de Madrid,28008,2,0,1,1,1.0,1.0,1.0,4,,35.0,,,1,30,1125,30,60,90,365,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1
2.0,Argüelles,16,10,0,Comunidad de Madrid,28008,2,0,0,3,1.0,2.0,2.0,4,,60.0,,30.0,1,1,1125,0,0,0,0,1,60.0,8.0,6.0,10.0,10.0,10.0,10.0,0
6.0,Argüelles,16,10,0,Comunidad de Madrid,28008,2,16,0,3,1.0,2.0,2.0,4,,95.0,500.0,70.0,3,7,1125,0,0,0,244,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0
1.0,,16,10,0,Comunidad de Madrid,28008,2,0,0,2,1.0,1.0,1.0,4,,55.0,94.0,20.0,1,2,15,0,0,14,14,7,93.0,9.0,9.0,10.0,10.0,10.0,9.0,2
1.0,Argüelles,16,10,0,Comunidad de Madrid,28008,5,0,0,4,2.0,2.0,2.0,4,,100.0,200.0,36.0,1,2,1125,8,32,58,148,14,88.0,9.0,9.0,10.0,10.0,9.0,9.0,0
1.0,Argüelles,16,10,0,Comunidad de Madrid,28008,2,0,1,2,1.0,1.0,1.0,4,,59.0,,19.0,1,1,1125,0,0,6,96,42,96.0,10.0,10.0,10.0,10.0,10.0,9.0,2
2.0,Argüelles,16,10,0,Comunidad de Madrid,28008,2,0,0,6,3.0,3.0,5.0,4,,90.0,,60.0,2,2,1125,5,30,57,332,22,97.0,10.0,10.0,10.0,10.0,10.0,9.0,2
1.0,,63,7,0,Comunidad de Madrid,28034,2,14,0,7,1.0,3.0,6.0,4,,55.0,,15.0,5,1,1125,10,31,45,220,32,91.0,9.0,10.0,10.0,10.0,9.0,9.0,2
1.0,Fuencarral-el Pardo,120,7,0,Comunidad de Madrid,28034,2,0,1,2,1.0,1.0,1.0,4,,35.0,,,1,1,1125,21,51,81,82,0,,,,,,,,0
1.0,,25,10,0,Comunidad de Madrid,28008,2,0,0,3,1.0,4.0,3.0,4,,50.0,100.0,30.0,1,6,1125,11,41,71,161,0,,,,,,,,0
1.0,Moncloa,34,10,0,Comunidad de Madrid,28040,2,0,0,3,1.0,1.0,4.0,4,,95.0,,,1,4,1125,0,0,0,0,0,,,,,,,,0
1.0,,34,10,0,Community of Madrid,28040,2,0,1,1,2.0,1.0,3.0,4,,21.0,,,1,3,1125,0,0,0,217,9,89.0,9.0,8.0,9.0,10.0,9.0,9.0,0
